Marka,Model,Year,Color,Engine,Fuel_type,Mileage,Gear_box,New,Price
Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
Changan,Nevo A05,2024,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,20591
Audi,Q7,2007,Qara,4.2,Benzin,178000,Avtomat,Xeyr,9912
Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
Honda,Insight,2014,Qəhvəyi,1.3,Hibrid,244000,Variator,Xeyr,9322
BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
Volkswagen,Transporter,2018,Qara,2.0,Dizel,60000,Avtomat,Xeyr,30700
Honda,Accord,2021,Yaş Asfalt,2.0,Hibrid,52000,Variator,Xeyr,22650
Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
Land Rover,Range Rover,2024,Qara,3.0,Plug-in Hibrid,0,Avtomat,Bəli,241300
BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
Voyah,Free,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,39900
Voyah,Free,2024,Yaşıl,1.5,Plug-in Hibrid,0,Reduktor,Bəli,40900
Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
Leapmotor,C11,2024,Ağ,1.5,Plug-in Hibrid,0,Reduktor,Bəli,30031
Bentley,Bentayga,2024,Qara,4.0,Benzin,0,Avtomat,Bəli,334950
Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
Mercedes,G 63 AMG,2018,Yaş Asfalt,4.0,Benzin,107000,Avtomat,Xeyr,167000
Skoda,Rapid,2020,Ağ,1.6,Benzin,81000,Avtomat,Xeyr,13800
Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
Changan,Nevo A05,2024,Yaş Asfalt,1.5,Plug-in Hibrid,0,Variator,Bəli,20591
Audi,Q7,2007,Qara,4.2,Benzin,178000,Avtomat,Xeyr,9912
DAF,105 XF,2008,Qırmızı,0.0,Dizel,1320000,Mexaniki,Xeyr,28320
Suzuki,S-Cross,2024,Yaş Asfalt,1.4,Benzin,0,Avtomat,Bəli,24485
Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
Honda,Insight,2014,Qəhvəyi,1.3,Hibrid,244000,Variator,Xeyr,9322
BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
Volkswagen,Transporter,2018,Qara,2.0,Dizel,60000,Avtomat,Xeyr,30700
Honda,Accord,2021,Yaş Asfalt,2.0,Hibrid,52000,Variator,Xeyr,22650
Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
Land Rover,Range Rover,2024,Qara,3.0,Plug-in Hibrid,0,Avtomat,Bəli,241300
BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
Voyah,Free,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,39900
Voyah,Free,2024,Yaşıl,1.5,Plug-in Hibrid,0,Reduktor,Bəli,40900
Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
Leapmotor,C11,2024,Ağ,1.5,Plug-in Hibrid,0,Reduktor,Bəli,30031
Bentley,Bentayga,2024,Qara,4.0,Benzin,0,Avtomat,Bəli,334950
Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
Mercedes,G 63 AMG,2018,Yaş Asfalt,4.0,Benzin,107000,Avtomat,Xeyr,167000
Skoda,Rapid,2020,Ağ,1.6,Benzin,81000,Avtomat,Xeyr,13800
Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
DAF,105 XF,2008,Qırmızı,0.0,Dizel,1320000,Mexaniki,Xeyr,28320
Suzuki,S-Cross,2024,Yaş Asfalt,1.4,Benzin,0,Avtomat,Bəli,24485
Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
Honda,Insight,2014,Qəhvəyi,1.3,Hibrid,244000,Variator,Xeyr,9322
BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
Volkswagen,Transporter,2018,Qara,2.0,Dizel,60000,Avtomat,Xeyr,30700
Honda,Accord,2021,Yaş Asfalt,2.0,Hibrid,52000,Variator,Xeyr,22650
Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
Land Rover,Range Rover,2024,Qara,3.0,Plug-in Hibrid,0,Avtomat,Bəli,241300
BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
Voyah,Free,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,39900
Voyah,Free,2024,Yaşıl,1.5,Plug-in Hibrid,0,Reduktor,Bəli,40900
Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
Leapmotor,C11,2024,Ağ,1.5,Plug-in Hibrid,0,Reduktor,Bəli,30031
Bentley,Bentayga,2024,Qara,4.0,Benzin,0,Avtomat,Bəli,334950
Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
Mercedes,G 63 AMG,2018,Yaş Asfalt,4.0,Benzin,107000,Avtomat,Xeyr,167000
Skoda,Rapid,2020,Ağ,1.6,Benzin,81000,Avtomat,Xeyr,13800
Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
DAF,105 XF,2008,Qırmızı,0.0,Dizel,1320000,Mexaniki,Xeyr,28320
Suzuki,S-Cross,2024,Yaş Asfalt,1.4,Benzin,0,Avtomat,Bəli,24485
Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
Honda,Insight,2014,Qəhvəyi,1.3,Hibrid,244000,Variator,Xeyr,9322
BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
Volkswagen,Transporter,2018,Qara,2.0,Dizel,60000,Avtomat,Xeyr,30700
Honda,Accord,2021,Yaş Asfalt,2.0,Hibrid,52000,Variator,Xeyr,22650
Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
Land Rover,Range Rover,2024,Qara,3.0,Plug-in Hibrid,0,Avtomat,Bəli,241300
BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
Voyah,Free,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,39900
Voyah,Free,2024,Yaşıl,1.5,Plug-in Hibrid,0,Reduktor,Bəli,40900
Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
Leapmotor,C11,2024,Ağ,1.5,Plug-in Hibrid,0,Reduktor,Bəli,30031
Bentley,Bentayga,2024,Qara,4.0,Benzin,0,Avtomat,Bəli,334950
Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
Mercedes,G 63 AMG,2018,Yaş Asfalt,4.0,Benzin,107000,Avtomat,Xeyr,167000
Skoda,Rapid,2020,Ağ,1.6,Benzin,81000,Avtomat,Xeyr,13800
Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
DAF,105 XF,2008,Qırmızı,0.0,Dizel,1320000,Mexaniki,Xeyr,28320
Suzuki,S-Cross,2024,Yaş Asfalt,1.4,Benzin,0,Avtomat,Bəli,24485
Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
Honda,Insight,2014,Qəhvəyi,1.3,Hibrid,244000,Variator,Xeyr,9322
BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
Volkswagen,Transporter,2018,Qara,2.0,Dizel,60000,Avtomat,Xeyr,30700
Honda,Accord,2021,Yaş Asfalt,2.0,Hibrid,52000,Variator,Xeyr,22650
Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
Land Rover,Range Rover,2024,Qara,3.0,Plug-in Hibrid,0,Avtomat,Bəli,241300
BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
Voyah,Free,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,39900
Voyah,Free,2024,Yaşıl,1.5,Plug-in Hibrid,0,Reduktor,Bəli,40900
Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
Leapmotor,C11,2024,Ağ,1.5,Plug-in Hibrid,0,Reduktor,Bəli,30031
Bentley,Bentayga,2024,Qara,4.0,Benzin,0,Avtomat,Bəli,334950
Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
Mercedes,G 63 AMG,2018,Yaş Asfalt,4.0,Benzin,107000,Avtomat,Xeyr,167000
Skoda,Rapid,2020,Ağ,1.6,Benzin,81000,Avtomat,Xeyr,13800
Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
DAF,105 XF,2008,Qırmızı,0.0,Dizel,1320000,Mexaniki,Xeyr,28320
Suzuki,S-Cross,2024,Yaş Asfalt,1.4,Benzin,0,Avtomat,Bəli,24485
Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
Honda,Insight,2014,Qəhvəyi,1.3,Hibrid,244000,Variator,Xeyr,9322
BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
Volkswagen,Transporter,2018,Qara,2.0,Dizel,60000,Avtomat,Xeyr,30700
Honda,Accord,2021,Yaş Asfalt,2.0,Hibrid,52000,Variator,Xeyr,22650
Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
Land Rover,Range Rover,2024,Qara,3.0,Plug-in Hibrid,0,Avtomat,Bəli,241300
BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
Voyah,Free,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,39900
Voyah,Free,2024,Yaşıl,1.5,Plug-in Hibrid,0,Reduktor,Bəli,40900
Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
Leapmotor,C11,2024,Ağ,1.5,Plug-in Hibrid,0,Reduktor,Bəli,30031
Bentley,Bentayga,2024,Qara,4.0,Benzin,0,Avtomat,Bəli,334950
Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
Mercedes,G 63 AMG,2018,Yaş Asfalt,4.0,Benzin,107000,Avtomat,Xeyr,167000
Skoda,Rapid,2020,Ağ,1.6,Benzin,81000,Avtomat,Xeyr,13800
Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
DAF,105 XF,2008,Qırmızı,0.0,Dizel,1320000,Mexaniki,Xeyr,28320
Suzuki,S-Cross,2024,Yaş Asfalt,1.4,Benzin,0,Avtomat,Bəli,24485
Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
Honda,Insight,2014,Qəhvəyi,1.3,Hibrid,244000,Variator,Xeyr,9322
BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
Volkswagen,Transporter,2018,Qara,2.0,Dizel,60000,Avtomat,Xeyr,30700
Honda,Accord,2021,Yaş Asfalt,2.0,Hibrid,52000,Variator,Xeyr,22650
Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
Land Rover,Range Rover,2024,Qara,3.0,Plug-in Hibrid,0,Avtomat,Bəli,241300
BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
Voyah,Free,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,39900
Voyah,Free,2024,Yaşıl,1.5,Plug-in Hibrid,0,Reduktor,Bəli,40900
Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
Leapmotor,C11,2024,Ağ,1.5,Plug-in Hibrid,0,Reduktor,Bəli,30031
Bentley,Bentayga,2024,Qara,4.0,Benzin,0,Avtomat,Bəli,334950
Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
Mercedes,G 63 AMG,2018,Yaş Asfalt,4.0,Benzin,107000,Avtomat,Xeyr,167000
Skoda,Rapid,2020,Ağ,1.6,Benzin,81000,Avtomat,Xeyr,13800
Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
DAF,105 XF,2008,Qırmızı,0.0,Dizel,1320000,Mexaniki,Xeyr,28320
Suzuki,S-Cross,2024,Yaş Asfalt,1.4,Benzin,0,Avtomat,Bəli,24485
Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
Honda,Insight,2014,Qəhvəyi,1.3,Hibrid,244000,Variator,Xeyr,9322
BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
Volkswagen,Transporter,2018,Qara,2.0,Dizel,60000,Avtomat,Xeyr,30700
Honda,Accord,2021,Yaş Asfalt,2.0,Hibrid,52000,Variator,Xeyr,22650
Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
Land Rover,Range Rover,2024,Qara,3.0,Plug-in Hibrid,0,Avtomat,Bəli,241300
BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
Voyah,Free,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,39900
Voyah,Free,2024,Yaşıl,1.5,Plug-in Hibrid,0,Reduktor,Bəli,40900
Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
Leapmotor,C11,2024,Ağ,1.5,Plug-in Hibrid,0,Reduktor,Bəli,30031
Bentley,Bentayga,2024,Qara,4.0,Benzin,0,Avtomat,Bəli,334950
Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
Mercedes,G 63 AMG,2018,Yaş Asfalt,4.0,Benzin,107000,Avtomat,Xeyr,167000
Skoda,Rapid,2020,Ağ,1.6,Benzin,81000,Avtomat,Xeyr,13800
Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
Changan,CS 35 Plus,2023,Ağ,1.4,Benzin,0,Avtomat,Bəli,20001
Audi,A6,2020,Yaş Asfalt,2.0,Benzin,26500,Avtomat,Xeyr,43500
DAF,105 XF,2008,Qırmızı,0.0,Dizel,1320000,Mexaniki,Xeyr,28320
Suzuki,S-Cross,2024,Yaş Asfalt,1.4,Benzin,0,Avtomat,Bəli,24485
Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
Honda,Insight,2014,Qəhvəyi,1.3,Hibrid,244000,Variator,Xeyr,9322
BMW,X5,2015,Göy,2.0,Plug-in Hibrid,121000,Avtomat,Xeyr,28000
Volkswagen,Transporter,2018,Qara,2.0,Dizel,60000,Avtomat,Xeyr,30700
Honda,Accord,2021,Yaş Asfalt,2.0,Hibrid,52000,Variator,Xeyr,22650
Mercedes,C 230,1999,Qızılı,2.3,Benzin,284000,Avtomat,Xeyr,7345
Land Rover,Range Rover,2024,Qara,3.0,Plug-in Hibrid,0,Avtomat,Bəli,241300
BMW,530,2008,Qara,3.0,Benzin,291000,Avtomat,Xeyr,12685
Hyundai,Elantra,2020,Yaş Asfalt,2.0,Benzin,88514,Avtomat,Xeyr,16461
Voyah,Free,2024,Qara,1.5,Plug-in Hibrid,0,Reduktor,Bəli,39900
Voyah,Free,2024,Yaşıl,1.5,Plug-in Hibrid,0,Reduktor,Bəli,40900
Land Rover,Range Rover,2015,Ağ,5.0,Benzin,45000,Avtomat,Xeyr,61900
Nissan,Note,2015,Tünd qırmızı,1.2,Benzin,27500,Variator,Xeyr,9322
Leapmotor,C11,2024,Ağ,1.5,Plug-in Hibrid,0,Reduktor,Bəli,30031
Bentley,Bentayga,2024,Qara,4.0,Benzin,0,Avtomat,Bəli,334950
Changan,F70 (Hunter),2022,Ağ,1.9,Dizel,81500,Mexaniki,Xeyr,18231
Changan,F70 (Hunter),2022,Göy,1.9,Dizel,30000,Mexaniki,Xeyr,21771
Mercedes,G 63 AMG,2018,Yaş Asfalt,4.0,Benzin,107000,Avtomat,Xeyr,167000
Skoda,Rapid,2020,Ağ,1.6,Benzin,81000,Avtomat,Xeyr,13800
Changan,F70 (Hunter),2023,Göy,1.9,Dizel,0,Mexaniki,Bəli,25901
Changan,Uni-K,2022,Ağ,2.0,Benzin,42000,Avtomat,Xeyr,24131
Hyundai,County,2023,Ağ,3.9,Dizel,0,Mexaniki,Bəli,85550
Audi,A6,2020,Yaş Asfalt,2.0,Benzin,26500,Avtomat,Xeyr,43500
DAF,105 XF,2008,Qırmızı,0.0,Dizel,1320000,Mexaniki,Xeyr,28320
Suzuki,S-Cross,2024,Yaş Asfalt,1.4,Benzin,0,Avtomat,Bəli,24485
Hyundai,Santa Fe,2014,Yaş Asfalt,2.0,Dizel,203000,Avtomat,Xeyr,17043
Honda,Insight,2014,Qəhvəyi,1.3,Hibrid,244000,Variator,Xeyr,9322
